"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"8600000US43964","ZCTA5 43964","8642","306","8615","306","27","24"
"8600000US28216","ZCTA5 28216","51116","1832","47039","1755","4077","829"
"8600000US28277","ZCTA5 28277","71605","1470","66433","1512","5172","823"
"8600000US28278","ZCTA5 28278","27286","1201","24416","1174","2870","421"
"8600000US28303","ZCTA5 28303","29414","937","26330","914","3084","466"
"8600000US28314","ZCTA5 28314","58110","1294","49536","1175","8574","753"
"8600000US28330","ZCTA5 28330","444","256","444","256","0","12"
"8600000US28347","ZCTA5 28347","2329","478","1503","260","826","393"
"8600000US28351","ZCTA5 28351","4698","401","4682","399","16","25"
"8600000US28357","ZCTA5 28357","2682","367","2341","326","341","238"
"8600000US28369","ZCTA5 28369","2865","373","2704","338","161","140"
"8600000US28371","ZCTA5 28371","7249","777","6845","759","404","223"
"8600000US28392","ZCTA5 28392","1628","540","1621","538","7","14"
"8600000US28428","ZCTA5 28428","6533","125","6410","152","123","77"
"8600000US28433","ZCTA5 28433","5375","829","5209","833","166","178"
"8600000US28435","ZCTA5 28435","2058","287","1983","284","75","82"
"8600000US28450","ZCTA5 28450","2596","314","2512","319","84","58"
"8600000US28461","ZCTA5 28461","19897","628","18693","807","1204","586"
"8600000US28462","ZCTA5 28462","12659","1145","12562","1183","97","166"
"8600000US28537","ZCTA5 28537","146","86","143","86","3","5"
"8600000US28547","ZCTA5 28547","25420","1109","20840","1036","4580","567"
"8600000US28552","ZCTA5 28552","146","121","146","121","0","12"
"8600000US28557","ZCTA5 28557","15204","404","14335","466","869","275"
"8600000US28560","ZCTA5 28560","27590","1303","26211","1180","1379","561"
"8600000US28562","ZCTA5 28562","38598","1130","36605","1098","1993","515"
