"GEO_ID","NAME","B10051I_001E","B10051I_001M","B10051I_002E","B10051I_002M","B10051I_003E","B10051I_003M","B10051I_004E","B10051I_004M","B10051I_005E","B10051I_005M","B10051I_006E","B10051I_006M","B10051I_007E","B10051I_007M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years!!60 years and over","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years!!60 years and over","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years!!30 to 59 years","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years!!30 to 59 years","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years!!60 years and over","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years!!60 years and over"
"8600000US00601","ZCTA5 00601","205","96","90","64","30","26","60","56","115","66","75","59","40","30"
"8600000US00602","ZCTA5 00602","915","237","533","190","228","128","305","138","382","137","176","98","206","95"
"8600000US00603","ZCTA5 00603","976","228","449","151","270","132","179","82","527","168","200","112","327","114"
"8600000US00606","ZCTA5 00606","161","107","93","81","55","65","38","48","68","52","40","41","28","30"
"8600000US00610","ZCTA5 00610","552","184","308","147","111","90","197","102","244","117","83","70","161","80"
"8600000US00612","ZCTA5 00612","1245","279","411","154","264","137","147","77","834","236","337","135","497","175"
"8600000US00616","ZCTA5 00616","507","196","120","83","88","73","32","35","387","179","179","134","208","123"
"8600000US00617","ZCTA5 00617","718","277","462","234","198","154","264","179","256","147","79","67","177","114"
"8600000US00622","ZCTA5 00622","340","345","73","64","10","17","63","55","267","324","230","320","37","58"
"8600000US00623","ZCTA5 00623","1193","320","413","154","122","73","291","132","780","273","368","191","412","197"
"8600000US00624","ZCTA5 00624","847","229","244","111","170","81","74","53","603","199","298","136","305","127"
"8600000US00627","ZCTA5 00627","705","217","300","119","142","83","158","71","405","166","125","97","280","130"
"8600000US00631","ZCTA5 00631","34","39","0","14","0","14","0","14","34","39","0","14","34","39"
"8600000US00637","ZCTA5 00637","501","175","165","88","112","77","53","44","336","124","152","92","184","85"
"8600000US00638","ZCTA5 00638","481","173","198","118","106","76","92","84","283","120","73","72","210","114"
"8600000US00641","ZCTA5 00641","883","216","220","107","109","63","111","79","663","201","206","91","457","158"
"8600000US00646","ZCTA5 00646","1366","394","582","257","297","191","285","158","784","312","327","175","457","218"
"8600000US00647","ZCTA5 00647","208","108","112","89","55","51","57","46","96","63","55","40","41","53"
"8600000US00650","ZCTA5 00650","341","171","156","128","45","74","111","108","185","124","115","109","70","70"
"8600000US00652","ZCTA5 00652","98","81","33","39","0","14","33","39","65","65","36","58","29","31"
"8600000US00653","ZCTA5 00653","392","137","206","89","24","23","182","78","186","89","54","47","132","76"
"8600000US00656","ZCTA5 00656","610","166","218","103","120","88","98","52","392","124","97","57","295","113"
"8600000US00659","ZCTA5 00659","749","294","369","234","202","187","167","137","380","167","126","110","254","118"
"8600000US00660","ZCTA5 00660","393","146","139","86","46","39","93","77","254","122","76","60","178","93"
"8600000US00662","ZCTA5 00662","1045","283","366","165","153","116","213","119","679","225","324","150","355","143"
"8600000US00664","ZCTA5 00664","343","147","57","59","35","48","22","30","286","123","105","82","181","95"
"8600000US00667","ZCTA5 00667","789","250","267","161","127","97","140","110","522","176","323","147","199","99"
"8600000US00669","ZCTA5 00669","502","145","118","71","73","63","45","36","384","119","209","92","175","81"
"8600000US00670","ZCTA5 00670","317","151","134","87","44","43","90","77","183","116","38","38","145","106"
"8600000US00674","ZCTA5 00674","1266","309","344","140","165","79","179","99","922","259","485","194","437","177"
"8600000US00676","ZCTA5 00676","492","231","149","115","72","87","77","72","343","194","76","74","267","163"
"8600000US00677","ZCTA5 00677","204","123","141","98","30","50","111","87","63","57","11","17","52","53"
"8600000US00678","ZCTA5 00678","445","201","207","125","117","78","90","78","238","154","106","106","132","117"
"8600000US00680","ZCTA5 00680","889","257","268","126","97","86","171","77","621","215","196","123","425","181"
"8600000US00682","ZCTA5 00682","785","205","371","157","238","134","133","79","414","148","126","83","288","119"
"8600000US00683","ZCTA5 00683","439","149","125","78","67","68","58","37","314","140","141","108","173","93"
"8600000US00685","ZCTA5 00685","570","231","122","87","62","61","60","61","448","199","74","52","374","198"
"8600000US00687","ZCTA5 00687","690","250","415","174","311","132","104","91","275","139","150","98","125","80"
"8600000US00688","ZCTA5 00688","305","123","121","93","62","71","59","65","184","88","97","70","87","55"
"8600000US00690","ZCTA5 00690","41","46","16","25","0","19","16","25","25","39","0","19","25","39"
"8600000US00692","ZCTA5 00692","1026","281","425","174","284","163","141","73","601","198","351","163","250","126"
"8600000US00693","ZCTA5 00693","1464","288","586","232","299","170","287","149","878","233","314","135","564","199"
"8600000US00694","ZCTA5 00694","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"8600000US00698","ZCTA5 00698","1148","275","637","243","402","227","235","96","511","163","202","90","309","139"
"8600000US00703","ZCTA5 00703","591","185","261","125","177","114","84","52","330","135","107","88","223","100"
"8600000US00704","ZCTA5 00704","314","168","25","39","25","39","0","19","289","158","182","128","107","81"
"8600000US00705","ZCTA5 00705","663","168","217","111","129","74","88","88","446","142","232","106","214","108"
"8600000US00707","ZCTA5 00707","389","208","115","91","115","91","0","21","274","171","192","157","82","70"
"8600000US00714","ZCTA5 00714","512","226","127","107","56","89","71","64","385","191","137","92","248","148"
"8600000US00715","ZCTA5 00715","95","65","42","47","33","53","9","14","53","44","31","39","22","21"
"8600000US00716","ZCTA5 00716","595","188","294","123","136","79","158","80","301","131","110","76","191","102"
"8600000US00717","ZCTA5 00717","289","110","115","68","76","58","39","34","174","88","63","57","111","64"
"8600000US00718","ZCTA5 00718","532","249","247","184","98","118","149","126","285","171","121","129","164","100"
"8600000US00719","ZCTA5 00719","897","283","488","238","245","155","243","145","409","147","74","59","335","142"
"8600000US00720","ZCTA5 00720","555","188","197","98","93","72","104","53","358","156","226","148","132","59"
"8600000US00723","ZCTA5 00723","306","138","248","125","179","114","69","60","58","60","58","60","0","21"
"8600000US00725","ZCTA5 00725","1914","393","825","236","376","159","449","154","1089","282","413","184","676","217"
"8600000US00727","ZCTA5 00727","1400","318","797","241","440","216","357","153","603","225","179","145","424","160"
"8600000US00728","ZCTA5 00728","1187","292","323","125","154","82","169","98","864","290","442","208","422","180"
"8600000US00729","ZCTA5 00729","1723","390","561","238","254","156","307","162","1162","285","545","174","617","188"
"8600000US00730","ZCTA5 00730","835","212","305","111","181","81","124","70","530","159","204","122","326","100"
"8600000US00731","ZCTA5 00731","316","159","126","94","70","65","56","66","190","111","124","97","66","56"
"8600000US00735","ZCTA5 00735","277","130","183","99","71","53","112","79","94","68","31","34","63","60"
"8600000US00736","ZCTA5 00736","904","253","334","166","165","104","169","115","570","187","282","135","288","126"
"8600000US00738","ZCTA5 00738","1300","292","944","268","501","204","443","190","356","149","63","65","293","141"
"8600000US00739","ZCTA5 00739","898","240","525","185","353","151","172","94","373","140","234","130","139","60"
"8600000US00740","ZCTA5 00740","11","18","0","14","0","14","0","14","11","18","11","18","0","14"
"8600000US00741","ZCTA5 00741","297","123","232","113","168","99","64","58","65","71","51","67","14","22"
"8600000US00745","ZCTA5 00745","1603","374","919","303","543","209","376","202","684","236","411","194","273","110"
"8600000US00751","ZCTA5 00751","567","185","212","100","84","74","128","57","355","128","133","93","222","115"
"8600000US00754","ZCTA5 00754","1166","303","327","136","148","107","179","84","839","259","527","210","312","128"
"8600000US00757","ZCTA5 00757","593","208","304","138","140","96","164","110","289","143","56","52","233","127"
"8600000US00765","ZCTA5 00765","408","354","211","232","54","64","157","203","197","178","18","32","179","176"
"8600000US00766","ZCTA5 00766","1019","246","393","148","237","120","156","80","626","180","285","136","341","115"
"8600000US00767","ZCTA5 00767","1044","282","384","176","152","118","232","108","660","247","286","169","374","159"
"8600000US00769","ZCTA5 00769","1217","336","602","231","476","225","126","68","615","248","326","180","289","116"
