"GEO_ID","NAME","B25014I_001E","B25014I_001M","B25014I_002E","B25014I_002M","B25014I_003E","B25014I_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!1.00 or less occupants per room","Margin of Error!!Total!!1.00 or less occupants per room","Estimate!!Total!!1.01 or more occupants per room","Margin of Error!!Total!!1.01 or more occupants per room"
"8600000US00601","ZCTA5 00601","5492","249","5351","263","141","65"
"8600000US00602","ZCTA5 00602","12072","446","11681","425","391","154"
"8600000US00603","ZCTA5 00603","18933","483","18569","467","364","125"
"8600000US00606","ZCTA5 00606","2014","173","1866","176","148","68"
"8600000US00610","ZCTA5 00610","8516","393","8399","404","117","75"
"8600000US00612","ZCTA5 00612","22452","525","21994","530","458","144"
"8600000US00616","ZCTA5 00616","3472","312","3376","309","96","62"
"8600000US00617","ZCTA5 00617","7929","328","7729","329","200","128"
"8600000US00622","ZCTA5 00622","2133","280","2059","267","74","75"
"8600000US00623","ZCTA5 00623","13477","507","12941","509","536","145"
"8600000US00624","ZCTA5 00624","7570","281","7219","310","351","116"
"8600000US00627","ZCTA5 00627","11340","339","11130","350","210","115"
"8600000US00631","ZCTA5 00631","643","90","625","88","18","21"
"8600000US00637","ZCTA5 00637","7479","312","7305","297","174","93"
"8600000US00638","ZCTA5 00638","5864","241","5732","241","132","72"
"8600000US00641","ZCTA5 00641","9185","351","9109","347","76","53"
"8600000US00646","ZCTA5 00646","11706","452","11125","465","581","185"
"8600000US00647","ZCTA5 00647","1905","189","1845","189","60","42"
"8600000US00650","ZCTA5 00650","5097","289","4943","295","154","101"
"8600000US00652","ZCTA5 00652","1315","178","1288","181","27","30"
"8600000US00653","ZCTA5 00653","3564","228","3498","231","66","40"
"8600000US00656","ZCTA5 00656","6463","251","6304","247","159","78"
"8600000US00659","ZCTA5 00659","14078","448","13901","482","177","97"
"8600000US00660","ZCTA5 00660","6236","265","6051","281","185","79"
"8600000US00662","ZCTA5 00662","13997","508","13707","514","290","129"
"8600000US00664","ZCTA5 00664","5118","312","5004","318","114","73"
"8600000US00667","ZCTA5 00667","7997","334","7717","328","280","135"
"8600000US00669","ZCTA5 00669","9591","324","9388","330","203","95"
"8600000US00670","ZCTA5 00670","2821","205","2624","207","197","85"
"8600000US00674","ZCTA5 00674","15205","453","14148","446","1057","224"
"8600000US00676","ZCTA5 00676","13242","423","12915","443","327","148"
"8600000US00677","ZCTA5 00677","4404","339","4348","331","56","54"
"8600000US00678","ZCTA5 00678","9013","447","8879","456","134","96"
"8600000US00680","ZCTA5 00680","18528","558","18167","547","361","134"
"8600000US00682","ZCTA5 00682","11800","494","11430","475","370","156"
"8600000US00683","ZCTA5 00683","11123","412","10694","413","429","135"
"8600000US00685","ZCTA5 00685","13857","493","13619","493","238","130"
"8600000US00687","ZCTA5 00687","9916","290","9691","298","225","91"
"8600000US00688","ZCTA5 00688","4261","259","4198","264","63","39"
"8600000US00690","ZCTA5 00690","2371","293","2371","293","0","19"
"8600000US00692","ZCTA5 00692","11484","519","11137","498","347","136"
"8600000US00693","ZCTA5 00693","18217","555","17634","566","583","185"
"8600000US00694","ZCTA5 00694","29","33","29","33","0","14"
"8600000US00698","ZCTA5 00698","10701","365","10502","365","199","76"
"8600000US00703","ZCTA5 00703","8410","331","8294","320","116","79"
"8600000US00704","ZCTA5 00704","2863","292","2765","281","98","70"
"8600000US00705","ZCTA5 00705","8173","271","7842","267","331","106"
"8600000US00707","ZCTA5 00707","3838","211","3554","205","284","137"
"8600000US00714","ZCTA5 00714","5954","329","5600","337","354","127"
"8600000US00715","ZCTA5 00715","1073","168","1073","168","0","14"
"8600000US00716","ZCTA5 00716","11058","400","10933","404","125","63"
"8600000US00717","ZCTA5 00717","6600","361","6408","348","192","94"
"8600000US00718","ZCTA5 00718","8118","445","7756","455","362","164"
"8600000US00719","ZCTA5 00719","8669","376","8435","368","234","111"
"8600000US00720","ZCTA5 00720","6629","264","6381","289","248","109"
"8600000US00723","ZCTA5 00723","6239","310","6051","305","188","88"
"8600000US00725","ZCTA5 00725","29661","712","28981","720","680","170"
"8600000US00727","ZCTA5 00727","19537","595","18993","573","544","153"
"8600000US00728","ZCTA5 00728","13247","497","12760","498","487","162"
"8600000US00729","ZCTA5 00729","16256","425","15131","458","1125","193"
"8600000US00730","ZCTA5 00730","11888","429","11722","431","166","64"
"8600000US00731","ZCTA5 00731","4361","351","4107","345","254","130"
"8600000US00735","ZCTA5 00735","4384","249","4192","254","192","104"
"8600000US00736","ZCTA5 00736","17157","415","16773","428","384","145"
"8600000US00738","ZCTA5 00738","11367","421","10876","416","491","145"
"8600000US00739","ZCTA5 00739","11697","389","11438","406","259","92"
"8600000US00740","ZCTA5 00740","638","111","582","113","56","46"
"8600000US00741","ZCTA5 00741","1494","190","1361","169","133","77"
"8600000US00745","ZCTA5 00745","15889","526","15233","538","656","147"
"8600000US00751","ZCTA5 00751","7802","374","7568","374","234","125"
"8600000US00754","ZCTA5 00754","13627","350","13181","349","446","184"
"8600000US00757","ZCTA5 00757","7417","273","7253","292","164","120"
"8600000US00765","ZCTA5 00765","2142","243","2007","233","135","98"
"8600000US00766","ZCTA5 00766","7791","276","7505","278","286","110"
"8600000US00767","ZCTA5 00767","11718","398","11407","405","311","123"
"8600000US00769","ZCTA5 00769","13182","333","12749","381","433","159"
"8600000US00771","ZCTA5 00771","12349","441","11759","427","590","191"
"8600000US00772","ZCTA5 00772","6630","300","6198","295","432","103"
"8600000US00773","ZCTA5 00773","6409","352","6162","359","247","99"
"8600000US00775","ZCTA5 00775","386","62","339","60","47","25"
"8600000US00777","ZCTA5 00777","12903","474","12284","518","619","209"
"8600000US00778","ZCTA5 00778","14149","470","13814","471","335","173"
"8600000US00780","ZCTA5 00780","3970","398","3870","401","100","86"
"8600000US00782","ZCTA5 00782","5455","233","5349","233","106","57"
"8600000US00783","ZCTA5 00783","10475","351","10003","352","472","166"
"8600000US00784","ZCTA5 00784","14016","435","13791","447","225","132"
"8600000US00786","ZCTA5 00786","127","81","127","81","0","14"
"8600000US00791","ZCTA5 00791","16285","533","15657","524","628","207"
"8600000US00794","ZCTA5 00794","8918","350","8366","372","552","195"
"8600000US00795","ZCTA5 00795","15074","398","14653","425","421","136"
"8600000US00901","ZCTA5 00901","2586","222","2522","217","64","41"
"8600000US00906","ZCTA5 00906","115","47","100","42","15","23"
"8600000US00907","ZCTA5 00907","8154","489","8066","484","88","45"
"8600000US00909","ZCTA5 00909","2308","189","2279","193","29","25"
"8600000US00911","ZCTA5 00911","3312","328","3253","328","59","41"
"8600000US00912","ZCTA5 00912","2443","248","2376","250","67","46"
"8600000US00913","ZCTA5 00913","3329","271","3208","285","121","70"
"8600000US00915","ZCTA5 00915","10875","444","10393","477","482","146"
"8600000US00917","ZCTA5 00917","8149","436","7975","431","174","73"
"8600000US00918","ZCTA5 00918","8034","457","7902","453","132","84"
"8600000US00920","ZCTA5 00920","6819","368","6702","356","117","60"
"8600000US00921","ZCTA5 00921","13581","525","13383","532","198","73"
"8600000US00923","ZCTA5 00923","9988","453","9748","463","240","89"
"8600000US00924","ZCTA5 00924","19093","592","18688","576","405","142"
"8600000US00925","ZCTA5 00925","3176","302","3044","299","132","79"
"8600000US00926","ZCTA5 00926","36018","801","35267","828","751","202"
"8600000US00927","ZCTA5 00927","5806","345","5773","348","33","27"
"8600000US00934","ZCTA5 00934","0","14","0","14","0","14"
"8600000US00936","ZCTA5 00936","0","14","0","14","0","14"
"8600000US00949","ZCTA5 00949","25139","618","24314","672","825","226"
"8600000US00950","ZCTA5 00950","0","14","0","14","0","14"
"8600000US00951","ZCTA5 00951","0","14","0","14","0","14"
"8600000US00952","ZCTA5 00952","2825","279","2660","282","165","88"
"8600000US00953","ZCTA5 00953","21582","476","20973","504","609","165"
"8600000US00956","ZCTA5 00956","24366","676","23880","688","486","190"
"8600000US00957","ZCTA5 00957","14370","566","13961","578","409","107"
"8600000US00959","ZCTA5 00959","17793","653","17333","666","460","162"
"8600000US00960","ZCTA5 00960","0","14","0","14","0","14"
"8600000US00961","ZCTA5 00961","11346","440","11085","444","261","109"
"8600000US00962","ZCTA5 00962","6828","248","6505","260","323","97"
"8600000US00965","ZCTA5 00965","2587","210","2441","206","146","86"
"8600000US00966","ZCTA5 00966","5724","353","5613","365","111","73"
"8600000US00968","ZCTA5 00968","1801","157","1801","157","0","14"
"8600000US00969","ZCTA5 00969","13973","518","13799","523","174","104"
"8600000US00971","ZCTA5 00971","8799","495","8578","509","221","114"
"8600000US00976","ZCTA5 00976","21207","561","20266","629","941","262"
