Zip Code,GEO_ID,NAME,B03003_001E,B03003_001M,B03003_002E,B03003_002M,B03003_003E,B03003_003M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino
60601,8600000US60601,60601,14675.0,1053,13401.0,1000,1274.0,385
60602,8600000US60602,60602,1244.0,469,1163.0,454,81.0,79
60603,8600000US60603,60603,1174.0,227,1059.0,174,115.0,142
60604,8600000US60604,60604,782.0,134,748.0,128,34.0,27
60605,8600000US60605,60605,27519.0,1496,25911.0,1480,1608.0,431
60606,8600000US60606,60606,3101.0,372,2906.0,354,195.0,123
60607,8600000US60607,60607,29591.0,1246,27134.0,1315,2457.0,457
60608,8600000US60608,60608,79205.0,2460,39059.0,1744,40146.0,2181
60609,8600000US60609,60609,61495.0,1708,28635.0,1111,32860.0,1447
60610,8600000US60610,60610,39019.0,1336,36418.0,1294,2601.0,442
60611,8600000US60611,60611,32426.0,1284,30725.0,1268,1701.0,401
60612,8600000US60612,60612,34311.0,1305,30105.0,1208,4206.0,465
60613,8600000US60613,60613,50113.0,1673,44451.0,1465,5662.0,924
60614,8600000US60614,60614,71308.0,1687,66991.0,1620,4317.0,679
60615,8600000US60615,60615,41563.0,1453,38990.0,1331,2573.0,483
60616,8600000US60616,60616,54464.0,1933,49864.0,1952,4600.0,649
60617,8600000US60617,60617,82534.0,2356,51455.0,2011,31079.0,1615
60618,8600000US60618,60618,94395.0,2109,56243.0,1432,38152.0,2192
60619,8600000US60619,60619,61258.0,2293,60389.0,2246,869.0,329
60620,8600000US60620,60620,68096.0,2167,67185.0,2114,911.0,297
60621,8600000US60621,60621,29042.0,1602,27981.0,1516,1061.0,437
60622,8600000US60622,60622,52793.0,1594,41214.0,1278,11579.0,1078
60623,8600000US60623,60623,85979.0,2523,29115.0,1628,56864.0,2146
60624,8600000US60624,60624,36158.0,1579,34243.0,1381,1915.0,754
60625,8600000US60625,60625,79243.0,2226,53265.0,1912,25978.0,1805
60626,8600000US60626,60626,49730.0,1471,39478.0,1234,10252.0,1181
60628,8600000US60628,60628,66724.0,2097,64432.0,2056,2292.0,366
60629,8600000US60629,60629,111850.0,2823,32418.0,1795,79432.0,2545
60630,8600000US60630,60630,57344.0,1895,41337.0,1540,16007.0,1497
60631,8600000US60631,60631,29529.0,875,26377.0,875,3152.0,376
60632,8600000US60632,60632,91039.0,2340,14605.0,1032,76434.0,2499
60633,8600000US60633,60633,12871.0,964,7081.0,733,5790.0,1126
60634,8600000US60634,60634,75995.0,1762,46930.0,1318,29065.0,1647
60636,8600000US60636,60636,32203.0,1291,29731.0,1216,2472.0,539
60637,8600000US60637,60637,47454.0,1522,46113.0,1537,1341.0,289
60638,8600000US60638,60638,58797.0,1733,28357.0,1208,30440.0,1929
60639,8600000US60639,60639,90517.0,2599,19979.0,1160,70538.0,2282
60640,8600000US60640,60640,69715.0,1741,59776.0,1587,9939.0,1193
60641,8600000US60641,60641,71023.0,2080,32673.0,1313,38350.0,1633
60642,8600000US60642,60642,20201.0,1038,16127.0,771,4074.0,777
60643,8600000US60643,60643,49870.0,1762,48221.0,1716,1649.0,560
60644,8600000US60644,60644,47712.0,2087,44644.0,2125,3068.0,610
60645,8600000US60645,60645,47732.0,1749,39605.0,1793,8127.0,1160
60646,8600000US60646,60646,27987.0,997,24016.0,898,3971.0,761
60647,8600000US60647,60647,87509.0,1670,48283.0,1272,39226.0,1613
60649,8600000US60649,60649,46024.0,2069,44841.0,1992,1183.0,556
60651,8600000US60651,60651,63218.0,2544,36358.0,1645,26860.0,2200
60652,8600000US60652,60652,43907.0,1398,26428.0,1249,17479.0,969
60653,8600000US60653,60653,31972.0,1308,31283.0,1287,689.0,205
60654,8600000US60654,60654,19135.0,896,18138.0,897,997.0,295
60655,8600000US60655,60655,28804.0,735,26414.0,716,2390.0,362
60656,8600000US60656,60656,27579.0,1000,24197.0,937,3382.0,535
60657,8600000US60657,60657,70052.0,1345,65151.0,1352,4901.0,660
60659,8600000US60659,60659,41068.0,1817,33188.0,1663,7880.0,1414
60660,8600000US60660,60660,43242.0,1271,35514.0,1173,7728.0,883
60661,8600000US60661,60661,9926.0,698,9286.0,660,640.0,289
60666,,,,,,,,
60707,8600000US60707,60707,43019.0,1277,26514.0,1055,16505.0,1261
60827,8600000US60827,60827,28577.0,653,27355.0,745,1222.0,434
