Zip Code,GEO_ID,NAME,B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years,Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years,Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years,Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years,Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years!!60 years and over,Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years!!60 years and over,Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years,Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years,Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years!!30 to 59 years,Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years!!30 to 59 years,Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years!!60 years and over,Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years!!60 years and over
60601,8600000US60601,60601,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0
60602,8600000US60602,60602,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60603,8600000US60603,60603,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60604,8600000US60604,60604,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60605,8600000US60605,60605,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
60606,8600000US60606,60606,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60607,8600000US60607,60607,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
60608,8600000US60608,60608,1218.0,276.0,227.0,136.0,176.0,123.0,51.0,59.0,991.0,257.0,395.0,141.0,596.0,200.0
60609,8600000US60609,60609,770.0,218.0,124.0,68.0,60.0,42.0,64.0,50.0,646.0,194.0,483.0,183.0,163.0,66.0
60610,8600000US60610,60610,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0
60611,8600000US60611,60611,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0
60612,8600000US60612,60612,15.0,24.0,0.0,23.0,0.0,23.0,0.0,23.0,15.0,24.0,15.0,24.0,0.0,23.0
60613,8600000US60613,60613,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0
60614,8600000US60614,60614,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0
60615,8600000US60615,60615,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0
60616,8600000US60616,60616,22.0,23.0,0.0,26.0,0.0,26.0,0.0,26.0,22.0,23.0,12.0,17.0,10.0,15.0
60617,8600000US60617,60617,1057.0,259.0,324.0,131.0,174.0,108.0,150.0,88.0,733.0,223.0,250.0,137.0,483.0,175.0
60618,8600000US60618,60618,1176.0,334.0,117.0,69.0,69.0,60.0,48.0,38.0,1059.0,310.0,417.0,189.0,642.0,216.0
60619,8600000US60619,60619,28.0,44.0,0.0,26.0,0.0,26.0,0.0,26.0,28.0,44.0,15.0,23.0,13.0,21.0
60620,8600000US60620,60620,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0
60621,8600000US60621,60621,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
60622,8600000US60622,60622,291.0,140.0,146.0,95.0,91.0,66.0,55.0,50.0,145.0,113.0,5.0,9.0,140.0,112.0
60623,8600000US60623,60623,2219.0,383.0,541.0,187.0,401.0,142.0,140.0,94.0,1678.0,338.0,1002.0,269.0,676.0,199.0
60624,8600000US60624,60624,62.0,86.0,0.0,23.0,0.0,23.0,0.0,23.0,62.0,86.0,0.0,23.0,62.0,86.0
60625,8600000US60625,60625,635.0,205.0,188.0,117.0,162.0,110.0,26.0,25.0,447.0,177.0,236.0,141.0,211.0,92.0
60626,8600000US60626,60626,124.0,83.0,61.0,48.0,46.0,43.0,15.0,23.0,63.0,65.0,21.0,38.0,42.0,46.0
60628,8600000US60628,60628,127.0,68.0,29.0,34.0,29.0,34.0,0.0,26.0,98.0,61.0,41.0,43.0,57.0,41.0
60629,8600000US60629,60629,3919.0,489.0,585.0,231.0,467.0,196.0,118.0,83.0,3334.0,431.0,1792.0,397.0,1542.0,303.0
60630,8600000US60630,60630,807.0,242.0,114.0,83.0,81.0,66.0,33.0,51.0,693.0,223.0,316.0,153.0,377.0,188.0
60631,8600000US60631,60631,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
60632,8600000US60632,60632,3317.0,553.0,704.0,193.0,385.0,137.0,319.0,125.0,2613.0,482.0,1405.0,401.0,1208.0,256.0
60633,8600000US60633,60633,148.0,111.0,72.0,59.0,49.0,57.0,23.0,31.0,76.0,85.0,8.0,11.0,68.0,84.0
60634,8600000US60634,60634,847.0,210.0,77.0,61.0,20.0,28.0,57.0,48.0,770.0,194.0,288.0,133.0,482.0,159.0
60636,8600000US60636,60636,51.0,32.0,5.0,7.0,5.0,7.0,0.0,23.0,46.0,32.0,38.0,30.0,8.0,13.0
60637,8600000US60637,60637,9.0,14.0,0.0,23.0,0.0,23.0,0.0,23.0,9.0,14.0,0.0,23.0,9.0,14.0
60638,8600000US60638,60638,1310.0,346.0,31.0,31.0,9.0,13.0,22.0,27.0,1279.0,341.0,687.0,285.0,592.0,186.0
60639,8600000US60639,60639,3547.0,468.0,1051.0,286.0,780.0,247.0,271.0,118.0,2496.0,392.0,1349.0,281.0,1147.0,266.0
60640,8600000US60640,60640,104.0,83.0,21.0,33.0,21.0,33.0,0.0,26.0,83.0,76.0,32.0,40.0,51.0,65.0
60641,8600000US60641,60641,1695.0,307.0,410.0,165.0,327.0,141.0,83.0,64.0,1285.0,260.0,565.0,185.0,720.0,186.0
60642,8600000US60642,60642,79.0,66.0,41.0,35.0,35.0,27.0,6.0,23.0,38.0,48.0,2.0,8.0,36.0,46.0
60643,8600000US60643,60643,99.0,103.0,7.0,10.0,0.0,23.0,7.0,10.0,92.0,103.0,17.0,35.0,75.0,96.0
60644,8600000US60644,60644,63.0,59.0,0.0,23.0,0.0,23.0,0.0,23.0,63.0,59.0,48.0,56.0,15.0,23.0
60645,8600000US60645,60645,160.0,97.0,38.0,42.0,7.0,15.0,31.0,40.0,122.0,82.0,98.0,75.0,24.0,36.0
60646,8600000US60646,60646,64.0,56.0,0.0,20.0,0.0,20.0,0.0,20.0,64.0,56.0,9.0,14.0,55.0,55.0
60647,8600000US60647,60647,1356.0,251.0,371.0,124.0,246.0,87.0,125.0,68.0,985.0,200.0,489.0,157.0,496.0,170.0
60649,8600000US60649,60649,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0
60651,8600000US60651,60651,1429.0,360.0,292.0,188.0,155.0,143.0,137.0,123.0,1137.0,323.0,786.0,325.0,351.0,121.0
60652,8600000US60652,60652,789.0,270.0,168.0,101.0,151.0,94.0,17.0,27.0,621.0,248.0,442.0,210.0,179.0,93.0
60653,8600000US60653,60653,4.0,7.0,0.0,23.0,0.0,23.0,0.0,23.0,4.0,7.0,4.0,7.0,0.0,23.0
60654,8600000US60654,60654,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0
60655,8600000US60655,60655,54.0,51.0,0.0,20.0,0.0,20.0,0.0,20.0,54.0,51.0,24.0,35.0,30.0,41.0
60656,8600000US60656,60656,82.0,59.0,36.0,52.0,0.0,20.0,36.0,52.0,46.0,62.0,46.0,62.0,0.0,20.0
60657,8600000US60657,60657,20.0,23.0,0.0,26.0,0.0,26.0,0.0,26.0,20.0,23.0,6.0,9.0,14.0,22.0
60659,8600000US60659,60659,389.0,234.0,91.0,104.0,91.0,104.0,0.0,23.0,298.0,156.0,271.0,159.0,27.0,32.0
60660,8600000US60660,60660,73.0,66.0,44.0,48.0,44.0,48.0,0.0,23.0,29.0,46.0,27.0,44.0,2.0,9.0
60661,8600000US60661,60661,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0
60666,,,,,,,,,,,,,,,,
60707,8600000US60707,60707,672.0,270.0,362.0,217.0,257.0,182.0,105.0,106.0,310.0,148.0,72.0,63.0,238.0,125.0
60827,8600000US60827,60827,12.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,12.0,20.0,0.0,20.0,12.0,20.0
