Zip Code,GEO_ID,NAME,B11002I_001E,B11002I_001M,B11002I_002E,B11002I_002M,B11002I_003E,B11002I_003M,B11002I_004E,B11002I_004M,B11002I_005E,B11002I_005M,B11002I_006E,B11002I_006M,B11002I_007E,B11002I_007M,B11002I_008E,B11002I_008M,B11002I_009E,B11002I_009M,B11002I_010E,B11002I_010M,B11002I_011E,B11002I_011M,B11002I_012E,B11002I_012M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!In family households,Margin of Error!!Total!!In family households,Estimate!!Total!!In family households!!In married-couple family,Margin of Error!!Total!!In family households!!In married-couple family,Estimate!!Total!!In family households!!In married-couple family!!Relatives,Margin of Error!!Total!!In family households!!In married-couple family!!Relatives,Estimate!!Total!!In family households!!In married-couple family!!Nonrelatives,Margin of Error!!Total!!In family households!!In married-couple family!!Nonrelatives,"Estimate!!Total!!In family households!!In male householder, no wife present, family","Margin of Error!!Total!!In family households!!In male householder, no wife present, family","Estimate!!Total!!In family households!!In male householder, no wife present, family!!Relatives","Margin of Error!!Total!!In family households!!In male householder, no wife present, family!!Relatives","Estimate!!Total!!In family households!!In male householder, no wife present, family!!Nonrelatives","Margin of Error!!Total!!In family households!!In male householder, no wife present, family!!Nonrelatives","Estimate!!Total!!In family households!!In female householder, no husband present, family","Margin of Error!!Total!!In family households!!In female householder, no husband present, family","Estimate!!Total!!In family households!!In female householder, no husband present, family!!Relatives","Margin of Error!!Total!!In family households!!In female householder, no husband present, family!!Relatives","Estimate!!Total!!In family households!!In female householder, no husband present, family!!Nonrelatives","Margin of Error!!Total!!In family households!!In female householder, no husband present, family!!Nonrelatives",Estimate!!Total!!In nonfamily households,Margin of Error!!Total!!In nonfamily households
60601,8600000US60601,60601,999.0,383.0,104.0,171.0,0.0,17.0,0.0,17.0,0.0,17.0,104.0,171.0,104.0,171.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,895.0,343.0
60602,8600000US60602,60602,46.0,78.0,46.0,78.0,46.0,78.0,46.0,78.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60603,8600000US60603,60603,104.0,143.0,97.0,142.0,97.0,142.0,97.0,142.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,7.0,11.0
60604,8600000US60604,60604,32.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,6.0,9.0
60605,8600000US60605,60605,1121.0,478.0,704.0,427.0,704.0,427.0,704.0,427.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,417.0,249.0
60606,8600000US60606,60606,213.0,156.0,148.0,145.0,148.0,145.0,148.0,145.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,65.0,49.0
60607,8600000US60607,60607,1618.0,490.0,800.0,381.0,717.0,361.0,717.0,361.0,0.0,20.0,55.0,63.0,55.0,63.0,0.0,20.0,28.0,67.0,28.0,67.0,0.0,20.0,818.0,332.0
60608,8600000US60608,60608,38000.0,2159.0,32629.0,2192.0,17635.0,1381.0,17493.0,1372.0,142.0,81.0,4569.0,1020.0,4196.0,938.0,373.0,142.0,10425.0,1626.0,9950.0,1543.0,475.0,171.0,5371.0,472.0
60609,8600000US60609,60609,32173.0,1485.0,28886.0,1544.0,17415.0,1465.0,17242.0,1448.0,173.0,105.0,3934.0,719.0,3450.0,658.0,484.0,132.0,7537.0,1073.0,7194.0,1024.0,343.0,108.0,3287.0,384.0
60610,8600000US60610,60610,2115.0,506.0,1253.0,453.0,386.0,343.0,386.0,343.0,0.0,23.0,629.0,186.0,457.0,169.0,172.0,46.0,238.0,235.0,208.0,207.0,30.0,49.0,862.0,287.0
60611,8600000US60611,60611,1496.0,380.0,589.0,263.0,559.0,253.0,559.0,253.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,30.0,49.0,30.0,49.0,0.0,23.0,907.0,327.0
60612,8600000US60612,60612,3675.0,517.0,3089.0,506.0,1463.0,368.0,1452.0,366.0,11.0,17.0,676.0,315.0,614.0,292.0,62.0,49.0,950.0,374.0,844.0,329.0,106.0,90.0,586.0,156.0
60613,8600000US60613,60613,5006.0,969.0,2521.0,773.0,1791.0,688.0,1791.0,688.0,0.0,26.0,436.0,310.0,365.0,256.0,71.0,72.0,294.0,187.0,284.0,184.0,10.0,15.0,2485.0,528.0
60614,8600000US60614,60614,3571.0,628.0,1749.0,520.0,1252.0,394.0,1252.0,394.0,0.0,26.0,155.0,133.0,155.0,133.0,0.0,26.0,342.0,311.0,342.0,311.0,0.0,26.0,1822.0,382.0
60615,8600000US60615,60615,2452.0,523.0,1287.0,431.0,820.0,337.0,820.0,337.0,0.0,23.0,341.0,237.0,308.0,211.0,33.0,38.0,126.0,128.0,126.0,128.0,0.0,23.0,1165.0,363.0
60616,8600000US60616,60616,4144.0,645.0,2863.0,605.0,1123.0,289.0,1118.0,288.0,5.0,8.0,505.0,284.0,484.0,276.0,21.0,21.0,1235.0,472.0,1170.0,455.0,65.0,59.0,1281.0,337.0
