Zip Code,GEO_ID,NAME,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Native,Margin of Error!!Total!!Native,Estimate!!Total!!Native!!Speak only English,Margin of Error!!Total!!Native!!Speak only English,Estimate!!Total!!Native!!Speak another language,Margin of Error!!Total!!Native!!Speak another language,"Estimate!!Total!!Native!!Speak another language!!Speak English very well""""","Margin of Error!!Total!!Native!!Speak another language!!Speak English very well""""","Estimate!!Total!!Native!!Speak another language!!Speak English less than very well""""","Margin of Error!!Total!!Native!!Speak another language!!Speak English less than very well""""",Estimate!!Total!!Foreign born,Margin of Error!!Total!!Foreign born,Estimate!!Total!!Foreign born!!Speak only English,Margin of Error!!Total!!Foreign born!!Speak only English,Estimate!!Total!!Foreign born!!Speak another language,Margin of Error!!Total!!Foreign born!!Speak another language,"Estimate!!Total!!Foreign born!!Speak another language!!Speak English very well""""","Margin of Error!!Total!!Foreign born!!Speak another language!!Speak English very well""""","Estimate!!Total!!Foreign born!!Speak another language!!Speak English less than very well""""","Margin of Error!!Total!!Foreign born!!Speak another language!!Speak English less than very well"""""
60601,8600000US60601,60601,1219.0,365,684.0,338.0,308.0,232.0,376.0,258.0,284.0,185.0,92.0,169.0,535.0,265.0,0.0,17.0,535.0,265.0,526.0,266.0,9.0,18.0
60602,8600000US60602,60602,76.0,79,21.0,34.0,1.0,2.0,20.0,34.0,20.0,34.0,0.0,11.0,55.0,70.0,0.0,11.0,55.0,70.0,52.0,70.0,3.0,5.0
60603,8600000US60603,60603,115.0,142,66.0,75.0,17.0,18.0,49.0,73.0,49.0,73.0,0.0,11.0,49.0,69.0,0.0,11.0,49.0,69.0,49.0,69.0,0.0,11.0
60604,8600000US60604,60604,34.0,27,27.0,24.0,11.0,11.0,16.0,17.0,11.0,11.0,5.0,7.0,7.0,11.0,0.0,11.0,7.0,11.0,0.0,11.0,7.0,11.0
60605,8600000US60605,60605,1539.0,403,932.0,340.0,574.0,289.0,358.0,208.0,331.0,201.0,27.0,38.0,607.0,193.0,120.0,107.0,487.0,179.0,275.0,143.0,212.0,141.0
60606,8600000US60606,60606,159.0,98,111.0,69.0,44.0,47.0,67.0,56.0,40.0,32.0,27.0,46.0,48.0,48.0,21.0,32.0,27.0,44.0,0.0,11.0,27.0,44.0
60607,8600000US60607,60607,2240.0,402,1811.0,381.0,990.0,281.0,821.0,218.0,671.0,188.0,150.0,98.0,429.0,148.0,109.0,83.0,320.0,125.0,202.0,103.0,118.0,84.0
60608,8600000US60608,60608,37477.0,2009,22548.0,1838.0,5328.0,882.0,17220.0,1459.0,15791.0,1427.0,1429.0,281.0,14929.0,994.0,313.0,116.0,14616.0,1001.0,3799.0,441.0,10817.0,916.0
60609,8600000US60609,60609,29911.0,1314,16595.0,1033.0,3467.0,462.0,13128.0,1009.0,11545.0,969.0,1583.0,319.0,13316.0,698.0,337.0,116.0,12979.0,676.0,2763.0,341.0,10216.0,603.0
60610,8600000US60610,60610,2165.0,356,1468.0,272.0,724.0,192.0,744.0,246.0,605.0,213.0,139.0,131.0,697.0,261.0,21.0,28.0,676.0,258.0,584.0,259.0,92.0,98.0
60611,8600000US60611,60611,1626.0,377,1062.0,271.0,658.0,230.0,404.0,160.0,368.0,147.0,36.0,44.0,564.0,228.0,74.0,94.0,490.0,190.0,418.0,170.0,72.0,73.0
60612,8600000US60612,60612,3991.0,436,2953.0,381.0,1166.0,241.0,1787.0,302.0,1558.0,299.0,229.0,106.0,1038.0,226.0,34.0,24.0,1004.0,222.0,261.0,79.0,743.0,206.0
60613,8600000US60613,60613,5355.0,887,3735.0,690.0,1887.0,401.0,1848.0,535.0,1608.0,447.0,240.0,172.0,1620.0,402.0,102.0,71.0,1518.0,402.0,658.0,185.0,860.0,386.0
60614,8600000US60614,60614,3989.0,601,2850.0,514.0,1711.0,405.0,1139.0,276.0,887.0,214.0,252.0,129.0,1139.0,261.0,162.0,74.0,977.0,246.0,524.0,129.0,453.0,206.0
60615,8600000US60615,60615,2429.0,474,1480.0,284.0,698.0,169.0,782.0,223.0,703.0,194.0,79.0,70.0,949.0,286.0,52.0,36.0,897.0,282.0,473.0,161.0,424.0,228.0
60616,8600000US60616,60616,4281.0,589,3080.0,516.0,1641.0,391.0,1439.0,295.0,1284.0,260.0,155.0,80.0,1201.0,310.0,60.0,43.0,1141.0,310.0,580.0,224.0,561.0,214.0
60617,8600000US60617,60617,28834.0,1495,19051.0,1150.0,4363.0,684.0,14688.0,1068.0,12792.0,990.0,1896.0,335.0,9783.0,784.0,174.0,111.0,9609.0,775.0,2793.0,410.0,6816.0,642.0
60618,8600000US60618,60618,35300.0,1995,20257.0,1331.0,5325.0,638.0,14932.0,1080.0,12709.0,946.0,2223.0,472.0,15043.0,1183.0,670.0,215.0,14373.0,1137.0,3254.0,403.0,11119.0,1064.0
60619,8600000US60619,60619,804.0,336,737.0,323.0,598.0,289.0,139.0,79.0,131.0,78.0,8.0,12.0,67.0,78.0,0.0,26.0,67.0,78.0,0.0,26.0,67.0,78.0
60620,8600000US60620,60620,775.0,253,613.0,208.0,349.0,172.0,264.0,113.0,242.0,104.0,22.0,27.0,162.0,90.0,15.0,23.0,147.0,87.0,59.0,42.0,88.0,63.0
60621,8600000US60621,60621,897.0,386,571.0,251.0,213.0,136.0,358.0,188.0,279.0,153.0,79.0,58.0,326.0,191.0,0.0,20.0,326.0,191.0,147.0,96.0,179.0,110.0
60622,8600000US60622,60622,10676.0,968,8313.0,802.0,3465.0,584.0,4848.0,542.0,3357.0,439.0,1491.0,349.0,2363.0,450.0,273.0,119.0,2090.0,435.0,675.0,194.0,1415.0,380.0
60623,8600000US60623,60623,51952.0,1835,26664.0,1312.0,4073.0,713.0,22591.0,1264.0,20043.0,1248.0,2548.0,420.0,25288.0,1179.0,577.0,156.0,24711.0,1199.0,5149.0,567.0,19562.0,1078.0
60624,8600000US60624,60624,1621.0,589,979.0,311.0,263.0,118.0,716.0,263.0,534.0,218.0,182.0,99.0,642.0,354.0,15.0,18.0,627.0,355.0,83.0,74.0,544.0,327.0
60625,8600000US60625,60625,23715.0,1581,12140.0,1072.0,3551.0,541.0,8589.0,877.0,7075.0,733.0,1514.0,389.0,11575.0,990.0,256.0,105.0,11319.0,992.0,2930.0,454.0,8389.0,910.0
60626,8600000US60626,60626,9662.0,1132,4922.0,702.0,1375.0,365.0,3547.0,597.0,2933.0,561.0,614.0,251.0,4740.0,699.0,161.0,103.0,4579.0,675.0,1541.0,357.0,3038.0,617.0
60628,8600000US60628,60628,2151.0,335,1264.0,226.0,388.0,126.0,876.0,190.0,607.0,183.0,269.0,121.0,887.0,211.0,18.0,23.0,869.0,213.0,267.0,122.0,602.0,157.0
60629,8600000US60629,60629,72688.0,2324,40600.0,1681.0,6071.0,917.0,34529.0,1501.0,30515.0,1438.0,4014.0,474.0,32088.0,1480.0,673.0,171.0,31415.0,1489.0,9621.0,777.0,21794.0,1194.0
60630,8600000US60630,60630,14858.0,1388,9647.0,950.0,3683.0,673.0,5964.0,707.0,5292.0,681.0,672.0,184.0,5211.0,734.0,97.0,56.0,5114.0,733.0,1820.0,352.0,3294.0,622.0
60631,8600000US60631,60631,2827.0,355,2296.0,314.0,1308.0,367.0,988.0,236.0,821.0,210.0,167.0,117.0,531.0,183.0,93.0,62.0,438.0,177.0,373.0,170.0,65.0,64.0
60632,8600000US60632,60632,70053.0,2252,38889.0,1809.0,5674.0,759.0,33215.0,1652.0,29209.0,1466.0,4006.0,551.0,31164.0,1077.0,805.0,187.0,30359.0,1084.0,7731.0,610.0,22628.0,920.0
60633,8600000US60633,60633,5241.0,1023,3654.0,679.0,1344.0,358.0,2310.0,574.0,2055.0,554.0,255.0,154.0,1587.0,553.0,64.0,63.0,1523.0,547.0,594.0,273.0,929.0,348.0
60634,8600000US60634,60634,26525.0,1419,17733.0,1172.0,5172.0,864.0,12561.0,1033.0,11071.0,990.0,1490.0,306.0,8792.0,801.0,405.0,181.0,8387.0,794.0,3438.0,449.0,4949.0,598.0
60636,8600000US60636,60636,2138.0,448,1139.0,296.0,321.0,149.0,818.0,226.0,670.0,193.0,148.0,79.0,999.0,259.0,16.0,23.0,983.0,258.0,259.0,106.0,724.0,208.0
60637,8600000US60637,60637,1268.0,261,975.0,235.0,524.0,152.0,451.0,207.0,351.0,142.0,100.0,83.0,293.0,104.0,26.0,27.0,267.0,107.0,179.0,65.0,88.0,76.0
60638,8600000US60638,60638,27669.0,1808,20130.0,1288.0,7862.0,980.0,12268.0,1150.0,11210.0,1052.0,1058.0,310.0,7539.0,972.0,325.0,126.0,7214.0,947.0,2956.0,478.0,4258.0,657.0
60639,8600000US60639,60639,64913.0,2113,38399.0,1541.0,6141.0,756.0,32258.0,1418.0,25851.0,1262.0,6407.0,701.0,26514.0,1529.0,604.0,201.0,25910.0,1547.0,6162.0,582.0,19748.0,1263.0
60640,8600000US60640,60640,9205.0,1106,5141.0,634.0,2078.0,414.0,3063.0,619.0,2456.0,502.0,607.0,343.0,4064.0,765.0,174.0,96.0,3890.0,750.0,901.0,217.0,2989.0,674.0
