Zip Code,GEO_ID,NAME,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Under 18 years,Margin of Error!!Total!!Male!!Under 18 years,Estimate!!Total!!Male!!Under 18 years!!Native,Margin of Error!!Total!!Male!!Under 18 years!!Native,Estimate!!Total!!Male!!Under 18 years!!Foreign born,Margin of Error!!Total!!Male!!Under 18 years!!Foreign born,Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen,Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen,Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen,Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen,Estimate!!Total!!Male!!18 years and over,Margin of Error!!Total!!Male!!18 years and over,Estimate!!Total!!Male!!18 years and over!!Native,Margin of Error!!Total!!Male!!18 years and over!!Native,Estimate!!Total!!Male!!18 years and over!!Foreign born,Margin of Error!!Total!!Male!!18 years and over!!Foreign born,Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen,Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen,Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen,Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Under 18 years,Margin of Error!!Total!!Female!!Under 18 years,Estimate!!Total!!Female!!Under 18 years!!Native,Margin of Error!!Total!!Female!!Under 18 years!!Native,Estimate!!Total!!Female!!Under 18 years!!Foreign born,Margin of Error!!Total!!Female!!Under 18 years!!Foreign born,Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen,Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen,Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen,Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen,Estimate!!Total!!Female!!18 years and over,Margin of Error!!Total!!Female!!18 years and over,Estimate!!Total!!Female!!18 years and over!!Native,Margin of Error!!Total!!Female!!18 years and over!!Native,Estimate!!Total!!Female!!18 years and over!!Foreign born,Margin of Error!!Total!!Female!!18 years and over!!Foreign born,Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen,Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen,Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen,Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen
60601,8600000US60601,60601,1274.0,385,624.0,296,0.0,17,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,624.0,296,425.0,226.0,199.0,148.0,56.0,91.0,143.0,115.0,650.0,210,55.0,94,0.0,17.0,55.0,94.0,0.0,17.0,55.0,94.0,595.0,170,259.0,204.0,336.0,238.0,279.0,217.0,57.0,85.0
60602,8600000US60602,60602,81.0,79,13.0,12,5.0,11,5.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,8.0,12,1.0,2.0,7.0,13.0,0.0,11.0,7.0,13.0,68.0,83,0.0,11,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,68.0,83,20.0,34.0,48.0,74.0,0.0,11.0,48.0,74.0
60603,8600000US60603,60603,115.0,142,57.0,73,22.0,37,22.0,37.0,0.0,11.0,0.0,11.0,0.0,11.0,35.0,38,6.0,12.0,29.0,37.0,29.0,37.0,0.0,11.0,58.0,71,21.0,35,21.0,35.0,0.0,11.0,0.0,11.0,0.0,11.0,37.0,38,17.0,17.0,20.0,33.0,20.0,33.0,0.0,11.0
60604,8600000US60604,60604,34.0,27,16.0,17,5.0,7,5.0,7.0,0.0,11.0,0.0,11.0,0.0,11.0,11.0,11,11.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,18.0,16,0.0,11,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,18.0,16,11.0,11.0,7.0,11.0,0.0,11.0,7.0,11.0
60605,8600000US60605,60605,1608.0,431,932.0,290,69.0,93,69.0,93.0,0.0,20.0,0.0,20.0,0.0,20.0,863.0,247,519.0,233.0,344.0,132.0,112.0,116.0,232.0,109.0,676.0,274,30.0,36,9.0,14.0,21.0,33.0,0.0,20.0,21.0,33.0,646.0,274,404.0,234.0,242.0,145.0,143.0,150.0,99.0,59.0
60606,8600000US60606,60606,195.0,123,84.0,65,36.0,50,36.0,50.0,0.0,11.0,0.0,11.0,0.0,11.0,48.0,49,27.0,46.0,21.0,32.0,21.0,32.0,0.0,11.0,111.0,68,0.0,11,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,111.0,68,84.0,59.0,27.0,44.0,0.0,11.0,27.0,44.0
60607,8600000US60607,60607,2457.0,457,1041.0,286,247.0,170,247.0,170.0,0.0,20.0,0.0,20.0,0.0,20.0,794.0,216,597.0,181.0,197.0,105.0,59.0,62.0,138.0,81.0,1416.0,265,192.0,97,192.0,97.0,0.0,20.0,0.0,20.0,0.0,20.0,1224.0,245,992.0,227.0,232.0,100.0,140.0,83.0,92.0,58.0
60608,8600000US60608,60608,40146.0,2181,21217.0,1252,5418.0,630,5293.0,622.0,125.0,87.0,56.0,72.0,69.0,47.0,15799.0,919,7821.0,786.0,7978.0,653.0,3024.0,396.0,4954.0,574.0,18929.0,1193,4881.0,630,4707.0,625.0,174.0,90.0,46.0,47.0,128.0,85.0,14048.0,863,7365.0,754.0,6683.0,591.0,2708.0,363.0,3975.0,463.0
60609,8600000US60609,60609,32860.0,1447,16758.0,881,4971.0,524,4761.0,494.0,210.0,104.0,20.0,19.0,190.0,99.0,11787.0,658,4753.0,452.0,7034.0,421.0,1758.0,238.0,5276.0,404.0,16102.0,803,5364.0,538,5167.0,532.0,197.0,75.0,23.0,27.0,174.0,73.0,10738.0,542,4849.0,435.0,5889.0,395.0,1593.0,249.0,4296.0,336.0
