Zip Code,GEO_ID,NAME,B25014I_001E,B25014I_001M,B25014I_002E,B25014I_002M,B25014I_003E,B25014I_003M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!1.00 or less occupants per room,Margin of Error!!Total!!1.00 or less occupants per room,Estimate!!Total!!1.01 or more occupants per room,Margin of Error!!Total!!1.01 or more occupants per room
60601,8600000US60601,60601,902.0,325.0,902.0,325.0,0.0,17.0
60602,8600000US60602,60602,20.0,34.0,20.0,34.0,0.0,11.0
60603,8600000US60603,60603,33.0,36.0,13.0,14.0,20.0,33.0
60604,8600000US60604,60604,17.0,14.0,17.0,14.0,0.0,11.0
60605,8600000US60605,60605,673.0,283.0,643.0,283.0,30.0,43.0
60606,8600000US60606,60606,111.0,69.0,111.0,69.0,0.0,11.0
60607,8600000US60607,60607,732.0,227.0,724.0,227.0,8.0,11.0
60608,8600000US60608,60608,12599.0,554.0,11792.0,586.0,807.0,240.0
60609,8600000US60609,60609,9506.0,355.0,8643.0,356.0,863.0,178.0
60610,8600000US60610,60610,1178.0,288.0,1103.0,274.0,75.0,85.0
60611,8600000US60611,60611,986.0,255.0,986.0,255.0,0.0,23.0
60612,8600000US60612,60612,1476.0,181.0,1441.0,180.0,35.0,30.0
60613,8600000US60613,60613,2670.0,427.0,2533.0,406.0,137.0,89.0
60614,8600000US60614,60614,1807.0,286.0,1737.0,283.0,70.0,60.0
60615,8600000US60615,60615,951.0,180.0,864.0,166.0,87.0,62.0
60616,8600000US60616,60616,1901.0,305.0,1857.0,309.0,44.0,33.0
60617,8600000US60617,60617,8671.0,401.0,8240.0,402.0,431.0,131.0
60618,8600000US60618,60618,11322.0,608.0,10715.0,597.0,607.0,194.0
60619,8600000US60619,60619,225.0,90.0,225.0,90.0,0.0,26.0
60620,8600000US60620,60620,200.0,74.0,186.0,69.0,14.0,23.0
60621,8600000US60621,60621,221.0,94.0,176.0,80.0,45.0,46.0
60622,8600000US60622,60622,4560.0,376.0,4307.0,380.0,253.0,111.0
60623,8600000US60623,60623,15067.0,348.0,12988.0,437.0,2079.0,316.0
60624,8600000US60624,60624,513.0,155.0,488.0,154.0,25.0,29.0
60625,8600000US60625,60625,7069.0,515.0,6243.0,499.0,826.0,214.0
60626,8600000US60626,60626,3332.0,389.0,2637.0,348.0,695.0,228.0
60628,8600000US60628,60628,688.0,109.0,668.0,109.0,20.0,23.0
60629,8600000US60629,60629,18987.0,493.0,17675.0,558.0,1312.0,263.0
60630,8600000US60630,60630,4467.0,338.0,4270.0,315.0,197.0,112.0
60631,8600000US60631,60631,834.0,163.0,834.0,163.0,0.0,20.0
60632,8600000US60632,60632,19408.0,495.0,16893.0,580.0,2515.0,332.0
60633,8600000US60633,60633,1667.0,309.0,1532.0,295.0,135.0,107.0
60634,8600000US60634,60634,7258.0,444.0,6745.0,438.0,513.0,132.0
60636,8600000US60636,60636,697.0,126.0,625.0,125.0,72.0,46.0
60637,8600000US60637,60637,442.0,110.0,423.0,107.0,19.0,18.0
60638,8600000US60638,60638,7684.0,479.0,7211.0,501.0,473.0,162.0
60639,8600000US60639,60639,17905.0,542.0,16316.0,598.0,1589.0,261.0
60640,8600000US60640,60640,3501.0,345.0,3128.0,312.0,373.0,152.0
60641,8600000US60641,60641,10131.0,374.0,9536.0,377.0,595.0,134.0
60642,8600000US60642,60642,1338.0,223.0,1251.0,221.0,87.0,65.0
60643,8600000US60643,60643,459.0,154.0,459.0,154.0,0.0,23.0
60644,8600000US60644,60644,771.0,175.0,735.0,171.0,36.0,42.0
60645,8600000US60645,60645,2175.0,299.0,1901.0,295.0,274.0,137.0
60646,8600000US60646,60646,1005.0,221.0,915.0,211.0,90.0,74.0
60647,8600000US60647,60647,12402.0,484.0,11682.0,495.0,720.0,148.0
60649,8600000US60649,60649,377.0,137.0,363.0,138.0,14.0,23.0
60651,8600000US60651,60651,6859.0,427.0,5922.0,416.0,937.0,266.0
60652,8600000US60652,60652,4011.0,226.0,3682.0,238.0,329.0,114.0
60653,8600000US60653,60653,299.0,96.0,285.0,97.0,14.0,16.0
60654,8600000US60654,60654,485.0,150.0,455.0,147.0,30.0,34.0
60655,8600000US60655,60655,591.0,129.0,550.0,122.0,41.0,47.0
60656,8600000US60656,60656,1292.0,238.0,1260.0,238.0,32.0,33.0
60657,8600000US60657,60657,2336.0,357.0,2145.0,333.0,191.0,132.0
60659,8600000US60659,60659,2152.0,332.0,1941.0,305.0,211.0,118.0
60660,8600000US60660,60660,2838.0,338.0,2562.0,353.0,276.0,147.0
60661,8600000US60661,60661,340.0,140.0,324.0,137.0,16.0,26.0
60666,,,,,,,,
60707,8600000US60707,60707,4521.0,338.0,4277.0,361.0,244.0,125.0
60827,8600000US60827,60827,311.0,125.0,264.0,118.0,47.0,46.0
