Zip Code,GEO_ID,NAME,C24010I_001E,C24010I_001M,C24010I_002E,C24010I_002M,C24010I_003E,C24010I_003M,C24010I_004E,C24010I_004M,C24010I_005E,C24010I_005M,C24010I_006E,C24010I_006M,C24010I_007E,C24010I_007M,C24010I_008E,C24010I_008M,C24010I_009E,C24010I_009M,C24010I_010E,C24010I_010M,C24010I_011E,C24010I_011M,C24010I_012E,C24010I_012M,C24010I_013E,C24010I_013M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Male,Margin of Error!!Total!!Male,"Estimate!!Total!!Male!!Management, business, science, and arts occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations",Estimate!!Total!!Male!!Service occupations,Margin of Error!!Total!!Male!!Service occupations,Estimate!!Total!!Male!!Sales and office occupations,Margin of Error!!Total!!Male!!Sales and office occupations,"Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations",Estimate!!Total!!Female,Margin of Error!!Total!!Female,"Estimate!!Total!!Female!!Management, business, science, and arts occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations",Estimate!!Total!!Female!!Service occupations,Margin of Error!!Total!!Female!!Service occupations,Estimate!!Total!!Female!!Sales and office occupations,Margin of Error!!Total!!Female!!Sales and office occupations,"Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations"
60601,8600000US60601,60601,854.0,271.0,474.0,231.0,376.0,216.0,0.0,17.0,43.0,69.0,0.0,17.0,55.0,89.0,380.0,127.0,1.0,3.0,0.0,17.0,370.0,128.0,0.0,17.0,9.0,17.0
60602,8600000US60602,60602,70.0,79.0,4.0,13.0,0.0,11.0,4.0,13.0,0.0,11.0,0.0,11.0,0.0,11.0,66.0,83.0,66.0,83.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60603,8600000US60603,60603,66.0,72.0,35.0,38.0,35.0,38.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,31.0,37.0,26.0,35.0,5.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60604,8600000US60604,60604,17.0,14.0,11.0,11.0,5.0,7.0,0.0,11.0,0.0,11.0,0.0,11.0,6.0,9.0,6.0,9.0,6.0,9.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60605,8600000US60605,60605,964.0,350.0,483.0,228.0,239.0,142.0,112.0,100.0,27.0,36.0,97.0,152.0,8.0,16.0,481.0,247.0,373.0,233.0,46.0,44.0,62.0,54.0,0.0,20.0,0.0,20.0
60606,8600000US60606,60606,145.0,96.0,48.0,49.0,48.0,49.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,97.0,65.0,97.0,65.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60607,8600000US60607,60607,1348.0,286.0,572.0,183.0,307.0,142.0,128.0,77.0,109.0,59.0,15.0,24.0,13.0,22.0,776.0,212.0,411.0,136.0,116.0,74.0,215.0,103.0,0.0,20.0,34.0,36.0
60608,8600000US60608,60608,17211.0,1120.0,9579.0,724.0,1810.0,311.0,2695.0,411.0,1045.0,201.0,1237.0,267.0,2792.0,394.0,7632.0,681.0,2651.0,327.0,2078.0,364.0,1809.0,313.0,58.0,53.0,1036.0,245.0
60609,8600000US60609,60609,13618.0,767.0,8462.0,567.0,697.0,176.0,2104.0,326.0,869.0,185.0,2123.0,318.0,2669.0,335.0,5156.0,421.0,905.0,204.0,1530.0,270.0,1587.0,207.0,31.0,28.0,1103.0,212.0
