Zip Code,GEO_ID,NAME,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Under 19 years,Margin of Error!!Total!!Under 19 years,Estimate!!Total!!Under 19 years!!With health insurance coverage,Margin of Error!!Total!!Under 19 years!!With health insurance coverage,Estimate!!Total!!Under 19 years!!No health insurance coverage,Margin of Error!!Total!!Under 19 years!!No health insurance coverage,Estimate!!Total!!19 to 64 years,Margin of Error!!Total!!19 to 64 years,Estimate!!Total!!19 to 64 years!!With health insurance coverage,Margin of Error!!Total!!19 to 64 years!!With health insurance coverage,Estimate!!Total!!19 to 64 years!!No health insurance coverage,Margin of Error!!Total!!19 to 64 years!!No health insurance coverage,Estimate!!Total!!65 years and over,Margin of Error!!Total!!65 years and over,Estimate!!Total!!65 years and over!!With health insurance coverage,Margin of Error!!Total!!65 years and over!!With health insurance coverage,Estimate!!Total!!65 years and over!!No health insurance coverage,Margin of Error!!Total!!65 years and over!!No health insurance coverage
60601,8600000US60601,60601,1270.0,384.0,117.0,130.0,117.0,130.0,0.0,17.0,832.0,346.0,769.0,316.0,63.0,65.0,321.0,235.0,321.0,235.0,0.0,17.0
60602,8600000US60602,60602,81.0,79.0,7.0,12.0,7.0,12.0,0.0,11.0,74.0,78.0,73.0,79.0,1.0,2.0,0.0,11.0,0.0,11.0,0.0,11.0
60603,8600000US60603,60603,115.0,142.0,43.0,72.0,43.0,72.0,0.0,11.0,72.0,72.0,72.0,72.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60604,8600000US60604,60604,34.0,27.0,5.0,7.0,5.0,7.0,0.0,11.0,29.0,22.0,29.0,22.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60605,8600000US60605,60605,1390.0,432.0,132.0,95.0,125.0,94.0,7.0,15.0,1258.0,411.0,1203.0,398.0,55.0,40.0,0.0,20.0,0.0,20.0,0.0,20.0
60606,8600000US60606,60606,195.0,123.0,36.0,50.0,36.0,50.0,0.0,11.0,159.0,98.0,159.0,98.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
60607,8600000US60607,60607,2435.0,457.0,576.0,246.0,569.0,245.0,7.0,14.0,1735.0,337.0,1646.0,334.0,89.0,54.0,124.0,74.0,115.0,73.0,9.0,14.0
60608,8600000US60608,60608,38539.0,2143.0,10794.0,1112.0,10570.0,1092.0,224.0,131.0,23894.0,1361.0,17302.0,1273.0,6592.0,752.0,3851.0,413.0,3631.0,400.0,220.0,109.0
60609,8600000US60609,60609,32824.0,1446.0,10957.0,926.0,10585.0,921.0,372.0,139.0,19466.0,983.0,12416.0,886.0,7050.0,707.0,2401.0,261.0,2355.0,256.0,46.0,50.0
60610,8600000US60610,60610,2584.0,440.0,562.0,209.0,540.0,206.0,22.0,35.0,1933.0,318.0,1849.0,323.0,84.0,69.0,89.0,74.0,89.0,74.0,0.0,23.0
60611,8600000US60611,60611,1701.0,401.0,86.0,75.0,86.0,75.0,0.0,23.0,1426.0,356.0,1383.0,355.0,43.0,41.0,189.0,116.0,189.0,116.0,0.0,23.0
60612,8600000US60612,60612,4130.0,467.0,887.0,233.0,865.0,233.0,22.0,24.0,2877.0,344.0,2552.0,295.0,325.0,149.0,366.0,107.0,366.0,107.0,0.0,23.0
60613,8600000US60613,60613,5657.0,924.0,947.0,389.0,915.0,388.0,32.0,29.0,4253.0,654.0,3551.0,526.0,702.0,400.0,457.0,170.0,457.0,170.0,0.0,26.0
60614,8600000US60614,60614,4270.0,673.0,960.0,338.0,960.0,338.0,0.0,26.0,3010.0,433.0,2791.0,419.0,219.0,114.0,300.0,165.0,300.0,165.0,0.0,26.0
60615,8600000US60615,60615,2573.0,483.0,594.0,216.0,594.0,216.0,0.0,23.0,1863.0,364.0,1436.0,213.0,427.0,236.0,116.0,72.0,116.0,72.0,0.0,23.0
60616,8600000US60616,60616,4547.0,648.0,919.0,274.0,910.0,273.0,9.0,15.0,3111.0,499.0,2809.0,466.0,302.0,182.0,517.0,164.0,517.0,164.0,0.0,26.0
60617,8600000US60617,60617,31029.0,1612.0,10126.0,884.0,9662.0,837.0,464.0,259.0,17294.0,915.0,13600.0,800.0,3694.0,624.0,3609.0,461.0,3472.0,432.0,137.0,85.0
60618,8600000US60618,60618,38114.0,2191.0,10551.0,1032.0,10046.0,1003.0,505.0,242.0,24423.0,1306.0,15788.0,1252.0,8635.0,931.0,3140.0,465.0,2918.0,414.0,222.0,152.0
60619,8600000US60619,60619,866.0,330.0,306.0,187.0,306.0,187.0,0.0,26.0,505.0,193.0,444.0,177.0,61.0,58.0,55.0,77.0,55.0,77.0,0.0,26.0
60620,8600000US60620,60620,905.0,295.0,454.0,190.0,445.0,189.0,9.0,14.0,406.0,148.0,332.0,136.0,74.0,43.0,45.0,38.0,45.0,38.0,0.0,26.0
60621,8600000US60621,60621,1045.0,437.0,624.0,276.0,613.0,274.0,11.0,18.0,381.0,183.0,217.0,107.0,164.0,111.0,40.0,45.0,40.0,45.0,0.0,20.0
60622,8600000US60622,60622,11407.0,1070.0,2727.0,579.0,2664.0,579.0,63.0,55.0,7231.0,686.0,5862.0,614.0,1369.0,297.0,1449.0,230.0,1417.0,233.0,32.0,34.0
60623,8600000US60623,60623,56840.0,2148.0,19558.0,1374.0,18643.0,1313.0,915.0,333.0,32983.0,1262.0,18906.0,1089.0,14077.0,1066.0,4299.0,445.0,4138.0,438.0,161.0,86.0
60624,8600000US60624,60624,1905.0,754.0,773.0,406.0,767.0,404.0,6.0,11.0,1020.0,329.0,527.0,192.0,493.0,251.0,112.0,96.0,60.0,44.0,52.0,84.0
60625,8600000US60625,60625,25841.0,1802.0,7558.0,923.0,7158.0,913.0,400.0,152.0,16917.0,1269.0,10927.0,928.0,5990.0,728.0,1366.0,252.0,1243.0,248.0,123.0,70.0
60626,8600000US60626,60626,10146.0,1174.0,2886.0,571.0,2762.0,559.0,124.0,91.0,6932.0,774.0,4646.0,566.0,2286.0,497.0,328.0,128.0,297.0,127.0,31.0,34.0
60628,8600000US60628,60628,2279.0,366.0,561.0,137.0,502.0,127.0,59.0,66.0,1415.0,261.0,1153.0,253.0,262.0,108.0,303.0,105.0,297.0,103.0,6.0,15.0
60629,8600000US60629,60629,79424.0,2547.0,27386.0,1461.0,26466.0,1455.0,920.0,277.0,47031.0,1583.0,34801.0,1401.0,12230.0,1113.0,5007.0,492.0,4648.0,479.0,359.0,137.0
60630,8600000US60630,60630,15981.0,1500.0,4896.0,724.0,4634.0,746.0,262.0,143.0,9843.0,947.0,7706.0,716.0,2137.0,577.0,1242.0,277.0,1182.0,275.0,60.0,59.0
60631,8600000US60631,60631,3133.0,376.0,1161.0,231.0,1161.0,231.0,0.0,20.0,1813.0,281.0,1769.0,278.0,44.0,43.0,159.0,119.0,159.0,119.0,0.0,20.0
60632,8600000US60632,60632,76368.0,2497.0,26117.0,1381.0,25416.0,1359.0,701.0,238.0,45030.0,1601.0,30958.0,1331.0,14072.0,1064.0,5221.0,402.0,5050.0,406.0,171.0,80.0
60633,8600000US60633,60633,5767.0,1123.0,1675.0,512.0,1656.0,515.0,19.0,26.0,3629.0,706.0,2908.0,606.0,721.0,271.0,463.0,169.0,463.0,169.0,0.0,17.0
60634,8600000US60634,60634,29007.0,1644.0,9507.0,963.0,9126.0,970.0,381.0,177.0,17726.0,1096.0,14762.0,953.0,2964.0,596.0,1774.0,370.0,1585.0,329.0,189.0,128.0
60636,8600000US60636,60636,2472.0,539.0,1004.0,305.0,998.0,305.0,6.0,10.0,1352.0,293.0,679.0,134.0,673.0,242.0,116.0,55.0,108.0,54.0,8.0,13.0
60637,8600000US60637,60637,1339.0,289.0,378.0,176.0,364.0,176.0,14.0,17.0,909.0,168.0,873.0,168.0,36.0,24.0,52.0,48.0,52.0,48.0,0.0,23.0
60638,8600000US60638,60638,30440.0,1929.0,11156.0,776.0,10819.0,774.0,337.0,163.0,17680.0,1380.0,15297.0,1250.0,2383.0,454.0,1604.0,313.0,1471.0,266.0,133.0,101.0
60639,8600000US60639,60639,70504.0,2280.0,22062.0,1168.0,21167.0,1184.0,895.0,233.0,44040.0,1676.0,30708.0,1399.0,13332.0,1083.0,4402.0,452.0,4065.0,447.0,337.0,144.0
60640,8600000US60640,60640,9788.0,1201.0,2455.0,579.0,2380.0,581.0,75.0,72.0,6576.0,744.0,4662.0,498.0,1914.0,505.0,757.0,248.0,737.0,243.0,20.0,31.0
60641,8600000US60641,60641,38275.0,1636.0,11729.0,974.0,11130.0,917.0,599.0,240.0,23979.0,954.0,17707.0,764.0,6272.0,738.0,2567.0,349.0,2366.0,331.0,201.0,182.0
60642,8600000US60642,60642,4074.0,777.0,838.0,333.0,775.0,344.0,63.0,73.0,2701.0,501.0,2205.0,470.0,496.0,217.0,535.0,165.0,535.0,165.0,0.0,20.0
60643,8600000US60643,60643,1634.0,560.0,632.0,289.0,603.0,287.0,29.0,48.0,899.0,292.0,816.0,250.0,83.0,93.0,103.0,81.0,103.0,81.0,0.0,23.0
60644,8600000US60644,60644,2999.0,602.0,1039.0,329.0,905.0,323.0,134.0,104.0,1847.0,406.0,1149.0,279.0,698.0,243.0,113.0,69.0,113.0,69.0,0.0,23.0
60645,8600000US60645,60645,8082.0,1161.0,2663.0,582.0,2606.0,591.0,57.0,68.0,4853.0,742.0,2933.0,493.0,1920.0,518.0,566.0,281.0,539.0,273.0,27.0,31.0
60646,8600000US60646,60646,3963.0,762.0,1309.0,311.0,1309.0,311.0,0.0,20.0,2449.0,588.0,1771.0,340.0,678.0,348.0,205.0,98.0,205.0,98.0,0.0,20.0
60647,8600000US60647,60647,39207.0,1611.0,10618.0,805.0,9939.0,768.0,679.0,264.0,24494.0,1082.0,18497.0,926.0,5997.0,658.0,4095.0,415.0,4008.0,413.0,87.0,50.0
60649,8600000US60649,60649,1165.0,548.0,189.0,125.0,189.0,125.0,0.0,23.0,964.0,528.0,570.0,279.0,394.0,456.0,12.0,23.0,12.0,23.0,0.0,23.0
60651,8600000US60651,60651,26854.0,2196.0,9298.0,1099.0,8782.0,1080.0,516.0,202.0,15984.0,1427.0,10559.0,973.0,5425.0,1006.0,1572.0,270.0,1524.0,276.0,48.0,44.0
60652,8600000US60652,60652,17479.0,969.0,6627.0,511.0,6501.0,522.0,126.0,62.0,10164.0,658.0,8256.0,536.0,1908.0,434.0,688.0,156.0,634.0,167.0,54.0,60.0
60653,8600000US60653,60653,672.0,205.0,252.0,113.0,246.0,113.0,6.0,10.0,404.0,123.0,383.0,120.0,21.0,21.0,16.0,16.0,16.0,16.0,0.0,23.0
60654,8600000US60654,60654,997.0,295.0,29.0,50.0,29.0,50.0,0.0,17.0,949.0,286.0,949.0,286.0,0.0,17.0,19.0,30.0,19.0,30.0,0.0,17.0
