id,Geographic Area Name,Estimate!!Total,Total_w_HIC,under_19_w_HIC_pop%,19_65_w_HIC_pop%,above_65_w_HIC_pop%,Total_wo_HIC,under_19_wo_HIC_pop%,19_65_wo_HIC_pop%,above_65_wo_HIC_pop%,Estimate!!Total!!Under 19 years,under_19_w_HIC%,under_19_wo_HIC%,Estimate!!Total!!Under 19 years!!With health insurance coverage,Estimate!!Total!!Under 19 years!!No health insurance coverage,Estimate!!Total!!19 to 64 years,19_65_w_HIC%,19_65_wo_HIC%,Estimate!!Total!!19 to 64 years!!With health insurance coverage,Estimate!!Total!!19 to 64 years!!No health insurance coverage,Estimate!!Total!!65 years and over,above_65_w_HIC%,above_65_wo_HIC%,Estimate!!Total!!65 years and over!!With health insurance coverage,Estimate!!Total!!65 years and over!!No health insurance coverage
8600000US60601,60601,1270,1207,0.09693454846727423,0.6371168185584093,0.2659486329743165,63,0.0,1.0,0.0,117,1.0,0.0,117,0,832,0.9242788461538461,0.07572115384615384,769,63,321,1.0,0.0,321,0
8600000US60602,60602,81,80,0.0875,0.9125,0.0,1,0.0,1.0,0.0,7,1.0,0.0,7,0,74,0.9864864864864865,0.013513513513513514,73,1,0,,,0,0
8600000US60603,60603,115,115,0.3739130434782609,0.6260869565217392,0.0,0,,,,43,1.0,0.0,43,0,72,1.0,0.0,72,0,0,,,0,0
8600000US60604,60604,34,34,0.14705882352941177,0.8529411764705882,0.0,0,,,,5,1.0,0.0,5,0,29,1.0,0.0,29,0,0,,,0,0
8600000US60605,60605,1390,1328,0.09412650602409639,0.9058734939759037,0.0,62,0.11290322580645161,0.8870967741935484,0.0,132,0.946969696969697,0.05303030303030303,125,7,1258,0.9562798092209857,0.04372019077901431,1203,55,0,,,0,0
8600000US60606,60606,195,195,0.18461538461538463,0.8153846153846154,0.0,0,,,,36,1.0,0.0,36,0,159,1.0,0.0,159,0,0,,,0,0
8600000US60607,60607,2435,2330,0.244206008583691,0.7064377682403433,0.04935622317596566,105,0.06666666666666667,0.8476190476190476,0.08571428571428572,576,0.9878472222222222,0.012152777777777778,569,7,1735,0.9487031700288184,0.051296829971181554,1646,89,124,0.9274193548387096,0.07258064516129033,115,9
8600000US60608,60608,38539,31503,0.33552360092689587,0.549217534837952,0.1152588642351522,7036,0.031836270608300174,0.9368959636156907,0.03126776577600909,10794,0.9792477302204928,0.020752269779507133,10570,224,23894,0.7241148405457437,0.2758851594542563,17302,6592,3851,0.9428719813035575,0.05712801869644248,3631,220
8600000US60609,60609,32824,25356,0.4174554346111374,0.4896671399274333,0.09287742546142924,7468,0.04981253347616497,0.9440278521692554,0.006159614354579539,10957,0.9660491010313041,0.03395089896869581,10585,372,19466,0.6378300626733793,0.3621699373266208,12416,7050,2401,0.9808413161182841,0.019158683881715953,2355,46
8600000US60610,60610,2584,2478,0.2179176755447942,0.7461662631154157,0.035916061339790153,106,0.20754716981132076,0.7924528301886793,0.0,562,0.9608540925266904,0.03914590747330961,540,22,1933,0.9565442317640973,0.04345576823590274,1849,84,89,1.0,0.0,89,0
8600000US60611,60611,1701,1658,0.05186972255729795,0.8341375150784077,0.11399276236429433,43,0.0,1.0,0.0,86,1.0,0.0,86,0,1426,0.9698457223001402,0.030154277699859747,1383,43,189,1.0,0.0,189,0
8600000US60612,60612,4130,3783,0.22865450700502246,0.6745968807824478,0.09674861221252974,347,0.06340057636887608,0.9365994236311239,0.0,887,0.9751972942502819,0.02480270574971815,865,22,2877,0.8870351060132082,0.1129648939867918,2552,325,366,1.0,0.0,366,0
8600000US60613,60613,5657,4923,0.1858622790981109,0.7213081454397725,0.09282957546211659,734,0.043596730245231606,0.9564032697547684,0.0,947,0.9662090813093981,0.0337909186906019,915,32,4253,0.8349400423230661,0.16505995767693393,3551,702,457,1.0,0.0,457,0
8600000US60614,60614,4270,4051,0.2369785238212787,0.6889656874845718,0.0740557886941496,219,0.0,1.0,0.0,960,1.0,0.0,960,0,3010,0.9272425249169435,0.07275747508305648,2791,219,300,1.0,0.0,300,0
8600000US60615,60615,2573,2146,0.2767940354147251,0.6691519105312209,0.05405405405405406,427,0.0,1.0,0.0,594,1.0,0.0,594,0,1863,0.7707997852925389,0.22920021470746108,1436,427,116,1.0,0.0,116,0
8600000US60616,60616,4547,4236,0.21482530689329557,0.6631255901794145,0.12204910292728989,311,0.028938906752411574,0.9710610932475884,0.0,919,0.9902067464635473,0.009793253536452665,910,9,3111,0.9029251044680168,0.09707489553198329,2809,302,517,1.0,0.0,517,0
8600000US60617,60617,31029,26734,0.361412433605147,0.5087154933792175,0.12987207301563553,4295,0.10803259604190919,0.860069848661234,0.03189755529685681,10126,0.9541773651984989,0.04582263480150109,9662,464,17294,0.7863999074823639,0.21360009251763618,13600,3694,3609,0.9620393460792463,0.03796065392075367,3472,137
8600000US60618,60618,38114,28752,0.34940178074568723,0.5491096271563717,0.10148859209794102,9362,0.05394146549882504,0.9223456526383251,0.023712881862849818,10551,0.9521372381764761,0.047862761823523836,10046,505,24423,0.6464398313065552,0.3535601686934447,15788,8635,3140,0.9292993630573249,0.07070063694267516,2918,222
8600000US60619,60619,866,805,0.3801242236024845,0.5515527950310559,0.06832298136645963,61,0.0,1.0,0.0,306,1.0,0.0,306,0,505,0.8792079207920792,0.12079207920792079,444,61,55,1.0,0.0,55,0
8600000US60620,60620,905,822,0.5413625304136253,0.40389294403892945,0.05474452554744526,83,0.10843373493975904,0.891566265060241,0.0,454,0.9801762114537445,0.019823788546255508,445,9,406,0.8177339901477833,0.18226600985221675,332,74,45,1.0,0.0,45,0
8600000US60621,60621,1045,870,0.7045977011494253,0.24942528735632183,0.04597701149425287,175,0.06285714285714286,0.9371428571428572,0.0,624,0.9823717948717948,0.017628205128205128,613,11,381,0.5695538057742782,0.4304461942257218,217,164,40,1.0,0.0,40,0
8600000US60622,60622,11407,9943,0.2679271849542392,0.5895604948204767,0.14251232022528412,1464,0.0430327868852459,0.9351092896174863,0.02185792349726776,2727,0.976897689768977,0.0231023102310231,2664,63,7231,0.8106762550131379,0.1893237449868621,5862,1369,1449,0.9779158040027606,0.022084195997239476,1417,32
8600000US60623,60623,56840,41687,0.4472137596852736,0.45352268093170534,0.09926355938302109,15153,0.060384082359928724,0.9289909588860291,0.010624958754042103,19558,0.9532160752633193,0.046783924736680645,18643,915,32983,0.5732043780129158,0.42679562198708426,18906,14077,4299,0.9625494301000233,0.03745056989997674,4138,161
8600000US60624,60624,1905,1354,0.5664697193500738,0.3892171344165436,0.04431314623338257,551,0.010889292196007259,0.8947368421052632,0.09437386569872959,773,0.9922380336351876,0.007761966364812419,767,6,1020,0.5166666666666667,0.48333333333333334,527,493,112,0.5357142857142857,0.4642857142857143,60,52
8600000US60625,60625,25841,19328,0.37034354304635764,0.5653456125827815,0.06431084437086093,6513,0.061415630277905725,0.9196990634116382,0.018885306310456013,7558,0.9470759460174649,0.05292405398253506,7158,400,16917,0.6459183070284329,0.35408169297156705,10927,5990,1366,0.9099560761346999,0.09004392386530015,1243,123
8600000US60626,60626,10146,7705,0.3584685269305646,0.6029850746268657,0.03854639844256976,2441,0.050798852929127405,0.9365014338385907,0.012699713232281851,2886,0.957033957033957,0.042966042966042964,2762,124,6932,0.6702250432775534,0.3297749567224466,4646,2286,328,0.9054878048780488,0.09451219512195122,297,31
8600000US60628,60628,2279,1952,0.257172131147541,0.5906762295081968,0.1521516393442623,327,0.18042813455657492,0.8012232415902141,0.01834862385321101,561,0.8948306595365418,0.1051693404634581,502,59,1415,0.8148409893992933,0.18515901060070672,1153,262,303,0.9801980198019802,0.019801980198019802,297,6
8600000US60629,60629,79424,65915,0.4015171053629675,0.527967837366305,0.07051505727072745,13509,0.06810274631726997,0.9053223776741431,0.026574876008586868,27386,0.9664061929453005,0.033593807054699484,26466,920,47031,0.7399587506112989,0.26004124938870105,34801,12230,5007,0.9283003794687438,0.07169962053125624,4648,359
8600000US60630,60630,15981,13522,0.342700783907706,0.5698861115219642,0.08741310457032983,2459,0.10654737698251322,0.8690524603497357,0.024400162667751118,4896,0.9464869281045751,0.053513071895424834,4634,262,9843,0.7828913948999289,0.21710860510007113,7706,2137,1242,0.9516908212560387,0.04830917874396135,1182,60
8600000US60631,60631,3133,3089,0.37584978957591453,0.5726772418258336,0.05147296859825186,44,0.0,1.0,0.0,1161,1.0,0.0,1161,0,1813,0.97573083287369,0.024269167126309985,1769,44,159,1.0,0.0,159,0
8600000US60632,60632,76368,61424,0.41377963011200836,0.5040049492055223,0.0822154206824694,14944,0.04690845824411135,0.9416488222698073,0.01144271948608137,26117,0.9731592449362484,0.026840755063751578,25416,701,45030,0.6874972240728403,0.3125027759271597,30958,14072,5221,0.9672476537061866,0.03275234629381345,5050,171
8600000US60633,60633,5767,5027,0.3294211259200318,0.5784762283668192,0.092102645713149,740,0.025675675675675677,0.9743243243243244,0.0,1675,0.9886567164179104,0.011343283582089553,1656,19,3629,0.8013226784238082,0.19867732157619178,2908,721,463,1.0,0.0,463,0
8600000US60634,60634,29007,25473,0.3582616888470145,0.5795155655007262,0.062222745652259256,3534,0.10780984719864177,0.8387096774193549,0.053480475382003394,9507,0.9599242663300726,0.04007573366992742,9126,381,17726,0.832787995035541,0.16721200496445898,14762,2964,1774,0.8934611048478016,0.10653889515219842,1585,189
8600000US60636,60636,2472,1785,0.5591036414565826,0.3803921568627451,0.06050420168067227,687,0.008733624454148471,0.9796215429403202,0.011644832605531296,1004,0.9940239043824701,0.00597609561752988,998,6,1352,0.5022189349112426,0.4977810650887574,679,673,116,0.9310344827586207,0.06896551724137931,108,8
8600000US60637,60637,1339,1289,0.28238944918541503,0.6772692009309542,0.04034134988363072,50,0.28,0.72,0.0,378,0.9629629629629629,0.037037037037037035,364,14,909,0.9603960396039604,0.039603960396039604,873,36,52,1.0,0.0,52,0
8600000US60638,60638,30440,27587,0.3921774748975967,0.5545003081161417,0.05332221698626165,2853,0.11812127584998247,0.8352611286365229,0.046617595513494564,11156,0.9697920401577627,0.030207959842237363,10819,337,17680,0.8652149321266969,0.13478506787330316,15297,2383,1604,0.9170822942643392,0.08291770573566085,1471,133
8600000US60639,60639,70504,55940,0.3783875580979621,0.5489452985341438,0.07266714336789418,14564,0.06145289755561659,0.9154078549848943,0.02313924745948915,22062,0.9594325083854591,0.04056749161454084,21167,895,44040,0.697275204359673,0.30272479564032695,30708,13332,4402,0.9234438891412994,0.0765561108587006,4065,337
8600000US60640,60640,9788,7779,0.30595192184085357,0.5993058233706132,0.09474225478853324,2009,0.03733200597312095,0.9527127924340468,0.009955201592832254,2455,0.9694501018329938,0.03054989816700611,2380,75,6576,0.708941605839416,0.29105839416058393,4662,1914,757,0.9735799207397622,0.026420079260237782,737,20
8600000US60641,60641,38275,31203,0.35669647149312567,0.5674774861391533,0.07582604236772106,7072,0.0847002262443439,0.8868778280542986,0.028421945701357466,11729,0.9489300025577628,0.05106999744223719,11130,599,23979,0.7384377997414404,0.2615622002585596,17707,6272,2567,0.9216984807167901,0.07830151928320997,2366,201
8600000US60642,60642,4074,3515,0.22048364153627312,0.6273115220483642,0.15220483641536273,559,0.11270125223613596,0.8872987477638641,0.0,838,0.9248210023866349,0.07517899761336516,775,63,2701,0.8163643095149945,0.18363569048500555,2205,496,535,1.0,0.0,535,0
8600000US60643,60643,1634,1522,0.3961892247043364,0.5361366622864652,0.06767411300919843,112,0.25892857142857145,0.7410714285714286,0.0,632,0.9541139240506329,0.04588607594936709,603,29,899,0.9076751946607341,0.09232480533926585,816,83,103,1.0,0.0,103,0
8600000US60644,60644,2999,2167,0.41762805722196583,0.5302261190586064,0.05214582371942778,832,0.16105769230769232,0.8389423076923077,0.0,1039,0.8710298363811357,0.1289701636188643,905,134,1847,0.6220898754737412,0.3779101245262588,1149,698,113,1.0,0.0,113,0
8600000US60645,60645,8082,6078,0.42875946034879897,0.4825600526488977,0.0886804870023034,2004,0.02844311377245509,0.9580838323353293,0.01347305389221557,2663,0.9785955689072474,0.021404431092752536,2606,57,4853,0.6043684318977952,0.39563156810220484,2933,1920,566,0.9522968197879859,0.04770318021201413,539,27
8600000US60646,60646,3963,3285,0.3984779299847793,0.539117199391172,0.0624048706240487,678,0.0,1.0,0.0,1309,1.0,0.0,1309,0,2449,0.7231523070641078,0.2768476929358922,1771,678,205,1.0,0.0,205,0
8600000US60647,60647,39207,32444,0.306343237578597,0.5701208235729257,0.12353593884847737,6763,0.10039923111045394,0.8867366553304746,0.012864113559071418,10618,0.9360519871915615,0.0639480128084385,9939,679,24494,0.7551645300890014,0.2448354699109986,18497,5997,4095,0.9787545787545787,0.021245421245421246,4008,87
8600000US60649,60649,1165,771,0.245136186770428,0.7392996108949417,0.01556420233463035,394,0.0,1.0,0.0,189,1.0,0.0,189,0,964,0.5912863070539419,0.4087136929460581,570,394,12,1.0,0.0,12,0
